Industry  Name,Number of firms,Average Company Age (years),Market Cap ($ millions),Book Equity ($ millions),Enteprise Value ($ millions),Invested Capital ($ millions),Total Debt (including leases) ($ millions),Revenues ($ millions),Gross Profit ($ millions),EBITDA ($ millions),EBIT (Operating Income) ($ millions),Net Income ( $ millions)
Advertising,52,20.41860465116279,60588.03599999997,8293.197999999997,78377.83367625772,13519.59954636253,24356.430676257703,36885.518000000004,13368.398,6353.557000000002,3705.4476647484585,-111.31600000000039
Aerospace/Defense,79,51.02857142857143,1588348.4549999994,163579.16600000003,1787591.6597894942,219529.99619722867,247188.28078949475,500626.8700000001,87532.694,62321.12200000002,43538.330042101064,24976.88200000001
Air Transport,23,38.388888888888886,141606.996,43312.8,251475.2582503246,137355.74590684933,129103.90225032461,245113.36000000004,60775.306000000004,29506.307,11963.864549935088,6148.183000000003
Apparel,35,52.74193548387097,80477.87199999999,23344.788000000004,100796.6245213242,34906.93152132422,25183.356521324225,63226.69899999999,35965.475000000006,9708.675000000003,6251.206695735156,2432.7069999999994
Auto & Truck,33,30.653846153846153,1662402.352,203196.85499999998,1930303.6689357453,480498.38689271745,327424.76993574464,497113.96199999994,51745.31999999999,33848.96200000001,11844.78901285108,6419.643999999998
Auto Parts,35,50.25,56496.977,29135.770000000004,72372.54672512152,37662.24344504392,23425.908725121542,87955.01000000001,13935.724000000002,9087.98,5105.426054975694,633.4549999999999
Bank (Money Center),15,125.33333333333333,2036628.4999999998,1117569.4000000001,4134091.982450722,3154627.2824507216,3343933.482450722,497510.5,497510.5,6165.887000000001,385.61050985572166,143723.15999999997
Banks (Regional),568,85.43639575971731,673932.5739999999,517019.1299999996,784366.7666046364,590391.2192922021,351134.3226046361,183423.01900000003,182726.4890000001,2551.428000000003,-221.15352092722244,50431.69399999998
Beverage (Alcoholic),14,62.75,48056.997,27014.997,67252.6341499441,35227.80014994411,20827.137149944116,27406.206000000002,12869.349000000004,7769.355,6245.129170011177,153.49700000000013
Beverage (Soft),27,41.04545454545455,649310.724,78835.545,756053.6013488059,137570.05434880598,133674.368348806,181913.60999999993,99577.708,44677.158,37527.30793023881,24372.47
Broadcasting,24,49.04761904761905,59031.293999999994,36910.61100000002,99645.13155395996,58918.551666071115,50680.89855395994,71423.01199999999,27236.561999999998,12442.454,8819.933489208015,1470.9800000000005
Brokerage & Investment Banking,32,58.57142857142857,1022392.2580000003,289585.06999999983,2059111.0874073538,1353175.7834073536,1386094.2494073529,356108.32899999997,189702.27000000002,2265.877000000001,-421.4336814706887,51453.210000000014
Building Materials,41,59.87179487179487,209523.03699999998,57970.70000000001,255649.7689511562,64811.170063391284,54472.43595115619,124947.27199999998,38658.757,21979.57899999999,15990.007809768762,9273.930999999999
Business & Consumer Services,155,37.776923076923076,593493.8109999998,104188.83299999998,681914.236282317,104207.81949593085,117013.83428231758,269559.79699999996,89976.036,46621.683999999994,33210.98054353648,18957.952
Cable TV,9,18.22222222222222,188902.6,141152.4,452996.9442789667,295555.44427896664,277572.44427896664,220384.4,138651.19999999998,72970.44,40202.791144206676,15611.2
Chemical (Basic),29,39.0,53676.215,51833.06000000001,97469.30758136444,78843.04355308124,53329.45358136448,115318.40300000003,10730.823,10946.294999999998,3295.664483727107,-4296.903
Chemical (Diversified),4,36.0,4122.76,4271.3,10273.690173414025,9282.128173414027,7260.592173414025,12206.02,1869.79,1221.24,415.82156531719505,-653.598
