Industry Name,Number of Firms,Beta,ROE,Cost of Equity,(ROE - COE),BV of Equity,Equity EVA (US $ millions),ROC,Cost of Capital,(ROC - WACC),BV of Capital,EVA (US $ millions),E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E)
Advertising,52,1.210506967409714,-0.013422566300720232,0.09348861074647324,-0.10691117704719348,8293.197999999997,-886.6355596654305,0.2772269074749548,0.07806123736168302,0.1991656701132718,12887.958746362528,2566.8389401114955,0.7132664241793936,0.6291480405048702,0.052913,0.050166601892135954,0.039684750000000005,0.28673357582060643
Aerospace/Defense,79,0.945491480030761,0.15268987249879978,0.08166892000937194,0.07102095248942784,163579.16600000003,11617.548176746232,0.16012360749257398,0.07601499077840683,0.08410861671416715,242575.92973838677,20402.725898448713,0.865331880332444,0.46452299950863785,0.052913,0.1157525444051738,0.039684750000000005,0.134668119667556
Air Transport,23,1.185465100406711,0.1419484078609557,0.09237174347813931,0.04957666438281638,43312.8,2147.3041490800497,0.07929312533704834,0.06724495139171459,0.012048173945333751,138929.42208138894,1673.8458433612657,0.5230930742546499,0.590043262853523,0.052913,0.0829257860360182,0.039684750000000005,0.4769069257453501
Apparel,35,0.9358744642979875,0.10420771437290409,0.08124000110769025,0.022967713265213838,23344.788000000004,536.1763970212049,0.15768515602445898,0.07133569923061227,0.08634945679384672,35779.421321324226,3089.533595494524,0.7616594386251926,0.4626373673236945,0.052913,0.09612500297378584,0.039684750000000005,0.2383405613748074
Auto & Truck,33,1.4564933048347815,0.03159322520026207,0.10445960139563126,-0.07286637619536919,203196.85499999998,-14806.218478145884,0.022474128513756082,0.0938009413632943,-0.07132681284953821,539547.7628919051,-38484.22230717794,0.8354506447689691,0.6183460542354303,0.052913,0.03737150993812953,0.039684750000000005,0.1645493552310309
Auto Parts,35,1.3394463651948414,0.021741488211912706,0.09923930788768992,-0.07749781967577721,29135.770000000004,-2257.9586495749195,0.08975948273328078,0.08178348625932404,0.007975996473956748,49908.38809625312,398.0691274765798,0.706893607349337,0.49872040429854986,0.052913,0.14999691449019154,0.039684750000000005,0.293106392650663
Bank (Money Center),15,0.7610461819725333,0.12860334221749448,0.07344265971597498,0.055160682501519495,1117569.4000000001,61645.89084681365,,0.049849161250959236,,2609713.2354507213,,0.3785159443646745,0.22738717670540012,0.047306,0.1843478364577707,0.0354795,0.6214840556353255
Banks (Regional),568,0.3984765556409175,0.09754318761860904,0.05727205438158492,0.04027113323702412,517019.1299999996,20820.94627032028,,0.04980706468584031,,557876.066918205,,0.6574522855359877,0.2268255755296142,0.047306,0.17609708151159398,0.0354795,0.34254771446401233
Beverage (Alcoholic),14,0.8124756277132766,0.0056819180842404,0.07573641299601214,-0.07005449491177174,27014.997,-1892.5219698780286,0.15744765776572892,0.06483618264591318,0.09261147511981574,34766.26115369162,3219.754729844128,0.6976497214204875,0.5596193724547387,0.052913,0.12349880380286866,0.039684750000000005,0.3023502785795125
Beverage (Soft),27,0.6414687070147179,0.30915585095530196,0.06810950433285642,0.24104634662244553,78835.545,19003.0201062394,0.2902563541349132,0.06325671579570011,0.22699963833921308,120456.60666591444,27343.606148731422,0.8292759726142316,0.5788689759563741,0.052913,0.0684627965508008,0.039684750000000005,0.17072402738576842
