Industry Name,Number of firms,Beta ,D/E Ratio,Effective Tax rate,Unlevered beta,Cash/Firm value,Unlevered beta corrected for cash,HiLo Risk,Standard deviation of equity,Standard deviation in operating income (last 10 years),2022,2023,2024,2025,Average (2022-2026)
Advertising,52,1.210506967409714,0.4020006635676013,0.050166601892135954,0.930085673859911,0.07730501181468243,1.0080098903421257,0.6233257531660213,0.6291480405048702,0.15168282600995042,1.1018246898142943,1.3458926691301203,1.18,1.2,1.167145449857308
Aerospace/Defense,79,0.945491480030761,0.1556259774178424,0.1157525444051738,0.846668742124111,0.026120466599857,0.8693772823914925,0.5213050748745736,0.46452299950863785,0.21858734290481577,1.1104126718043248,1.2292962090923658,0.93,0.8,0.9878172326576365
Air Transport,23,1.185465100406711,0.91170567766528,0.0829257860360182,0.7040501862693873,0.0710560236928952,0.7579038179118688,0.5151727607461237,0.590043262853523,2.104293860769662,0.914138227895993,0.6939980034393283,0.64,0.76,0.7532080098494381
Apparel,35,0.9358744642979875,0.31292274379874546,0.09612500297378584,0.7579820882045375,0.04603963126378228,0.794563498700363,0.5786453528011011,0.4626373673236945,0.26800348004360613,1.098346042881063,1.0163797426008965,0.93,0.83,0.9338578568364644
Auto & Truck,33,1.4564933048347815,0.19695879853744616,0.03737150993812953,1.2690329072913427,0.029913881635151476,1.3081652064358895,0.7242202227236834,0.6183460542354303,0.3888198679307462,1.0207658043192696,1.2255318343171395,1.3,1.43,1.2568925690144597
Auto Parts,35,1.3394463651948414,0.4146400386187307,0.14999691449019154,1.0217137832780625,0.09447030010863032,1.1283051051783621,0.5242640346289048,0.49872040429854986,0.2121922558161556,1.212594354633614,1.202436458457679,1.12,0.99,1.1306671836539313
Bank (Money Center),15,0.7610461819725333,1.6418966357638234,0.1843478364577707,0.3410587595479105,0.2316616747591599,0.4438913800649,0.23102417672707903,0.22738717670540012,,1.0325147457583626,0.7393414305916117,0.64,0.53,0.6771495112829748
Banks (Regional),568,0.3984765556409175,0.5210229274429405,0.17609708151159398,0.2865156418030888,0.23481406998633866,0.3744392448485997,0.1917165677227987,0.2268255755296142,0.553283335172488,0.8412738920935885,0.4129806383970706,0.33,0.48,0.48773875506785186
Beverage (Alcoholic),14,0.8124756277132766,0.4333840741223201,0.12349880380286866,0.6131715419678557,0.02368469924364032,0.6280466376925842,0.582970879014547,0.5596193724547387,0.18744984639835108,0.7205248116424126,0.8807822917633785,0.97,0.51,0.7418707482196749
Beverage (Soft),27,0.6414687070147179,0.20587118525522147,0.0684627965508008,0.5556711918551647,0.034395917959575265,0.5754648330410659,0.6187363130886608,0.5788689759563741,0.18650606969544173,1.1155473334942059,1.2014134916712005,0.7,0.51,0.8204851316412943
Broadcasting,24,0.47075204848634544,0.8585429035988935,0.07728859528725333,0.28636169661672445,0.09175881700704047,0.315292569835984,0.5720694045435653,0.46623069933478634,0.24676788323462776,0.8112721237191215,0.7021599591713337,0.5,0.48,0.5617449305452878
