Industry name,Number of firms,  Dividends , Net Income ,Payout,Dividends + Buybacks,Cash Return as % of Net Income,Dividends + Buybacks - Stock Issuances,FCFE (before debt cash flows),FCFE (after debt cash flows),Net Cash Returned/FCFE (pre-debt),Net Cash Returned/FCFE (post-debt),Net Cash Returned/ Net Income,Cash/ Firm Value
Advertising,52,571.1,-111.31600000000039,0.0027465942927341557,2751.489,,755.4480000000003,1068.7549999999994,-1263.3129999999974,0.7068486229304197,,-6.786517661432298,0.07730501181468243
Aerospace/Defense,79,12526.490999999998,24976.88200000001,0.5015234087265174,32083.936,1.284545284715682,4059.0900000000074,6587.801000000021,5584.175000000047,0.6161524915521878,0.7268916178307402,0.16251387983496124,0.026120466599857
Air Transport,23,812.0,6148.183000000003,0.13207154048602646,5182.741000000001,0.8429711672538047,3721.788000000001,-853.9879999999982,-14944.989999999996,,,0.6053476287221768,0.0710560236928952
Apparel,35,1218.6199999999997,2432.7069999999994,0.5009316781675721,6158.235999999999,2.5314335018561627,5887.7069999999985,1761.7259999999997,-3469.041000000001,3.3420106191314654,,2.420228576643221,0.04603963126378228
Auto & Truck,33,3743.2,6419.643999999998,0.5830852925800871,12518.957000000002,1.9501014386467543,7601.042000000001,9814.40199999999,16496.88099999998,0.7744783635314724,0.46075630902593107,1.1840285847626446,0.029913881635151476
Auto Parts,35,693.9300000000001,633.4549999999999,1.0954685021035435,2351.1330000000003,3.711602244831915,1738.5880000000002,360.3819999999994,-49.55200000000059,4.8242920012653325,,2.7446116930168682,0.09447030010863032
Bank (Money Center),15,40401.779,143723.15999999997,0.2811083405068467,91770.65,0.6385237424504165,89661.65,103238.16399999998,486737.164,0.8684932637895422,0.184209582977313,0.6238496982671409,0.2316616747591599
Banks (Regional),568,18200.19977999999,50431.69399999998,0.36088813078537474,29963.263,0.5941355648295298,25767.894,44904.87799999998,23178.704000000318,0.573832847291112,1.1117055552372406,0.5109464298383475,0.23481406998633866
Beverage (Alcoholic),14,1538.0,153.49700000000013,0.00224154517375531,3718.8049999999994,24.22721616709119,3670.2049999999995,-935.6449999999999,-2585.229999999999,,,23.910597601256026,0.02368469924364032
Beverage (Soft),27,17711.0,24372.47,0.7266805539200581,20640.19,0.8468649258774346,20095.811999999998,19556.36,25591.214999999993,1.0275844789112083,0.7852621299926559,0.8245291511283016,0.034395917959575265
Broadcasting,24,894.77,1470.9800000000005,0.608281553794069,2423.978,1.6478660484846832,2336.8,-11349.776,-14700.822,,,1.588600796747746,0.09175881700704047
Brokerage & Investment Banking,32,14207.813999999998,51453.210000000014,0.2761307603548932,31828.72899999999,0.6185955939386479,29678.89199999999,36983.656000000025,61417.23700000008,0.8024866984486329,0.4832339168888361,0.5768132250640918,0.14506015247562656
Building Materials,41,2369.8299999999995,9273.930999999999,0.2555367297858912,12320.739999999996,1.3285347928510571,11950.091999999997,8018.5329999999985,8662.582999999997,1.4903090128830296,1.3795067822149585,1.2885681379341725,0.03161305724944799
