Industry Name,Number of firms,ROE (unadjusted),ROE (adjusted for R&D),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Advertising,52,-0.013422566300720232,-0.004994974358901806,,,,,
Aerospace/Defense,79,0.15268987249879978,0.11320322643347375,,,,,
Air Transport,23,0.1419484078609557,0.13444788101197452,,,,,
Apparel,35,0.10420771437290409,0.10370817768358963,,,,,
Auto & Truck,33,0.03159322520026207,0.025472020841018444,,,,,
Auto Parts,35,0.021741488211912706,0.018318233972457538,,,,,
Bank (Money Center),15,0.12860334221749448,0.12860334221749448,,,,,
Banks (Regional),568,0.09754318761860904,0.09754318761860904,,,,,
Beverage (Alcoholic),14,0.0056819180842404,0.005681928345802123,,,,,
Beverage (Soft),27,0.30915585095530196,0.2991637479985385,,,,,
Broadcasting,24,0.03985249661675879,0.03985996663414285,,,,,
Brokerage & Investment Banking,32,0.17767908407709018,0.17614275676291374,,,,,
Building Materials,41,0.15997617762076355,0.14899901030360177,,,,,
Business & Consumer Services,155,0.18195761920089848,0.16824530076987645,,,,,
Cable TV,9,0.11059819032478371,0.10950140130150016,,,,,
Chemical (Basic),29,-0.08289888731246041,-0.07818061089490982,,,,,
Chemical (Diversified),4,-0.15302086015967034,-0.1308966979739718,,,,,
Chemical (Specialty),59,0.034987853971055624,0.03250325195869316,,,,,
Coal & Related Energy,16,-0.02513240711000554,-0.025228723205530615,,,,,
Computer Services,64,0.1825059226961266,0.1461110456174526,,,,,
Computers/Peripherals,36,-0.0017413160406024974,0.4842749814598282,,,,,
Construction Supplies,40,0.22855656826808135,0.19684858686809667,,,,,
Diversified,20,0.11373244135744745,0.11232054517930092,,,,,
Drugs (Biotechnology),496,-0.0567224880686716,-0.0220970394520888,,,,,
Drugs (Pharmaceutical),228,0.24044099573432734,0.11381956804561301,,,,,
Education,32,0.15904839202146528,0.13457394266917705,,,,,
Electrical Equipment,112,0.015254544403730292,0.015580489150712109,,,,,
Electronics (Consumer & Office),8,-0.2880927953264372,-0.12732227698124035,,,,,
