Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Advertising,52,1.210506967409714,0.09348861074647324,0.7132664241793936,0.6291480405048702,0.052913,0.050166601892135954,0.039684750000000005,0.28673357582060643,0.07806123736168302,0.07806123736168313
Aerospace/Defense,79,0.945491480030761,0.08166892000937194,0.865331880332444,0.46452299950863785,0.052913,0.1157525444051738,0.039684750000000005,0.13466811966755599,0.07601499077840683,0.0760149907784069
Air Transport,23,1.185465100406711,0.09237174347813931,0.5230930742546499,0.590043262853523,0.052913,0.0829257860360182,0.039684750000000005,0.4769069257453501,0.06724495139171459,0.0672449513917146
Apparel,35,0.9358744642979875,0.08124000110769025,0.7616594386251926,0.4626373673236945,0.052913,0.09612500297378584,0.039684750000000005,0.2383405613748074,0.07133569923061227,0.07133569923061223
Auto & Truck,33,1.4564933048347815,0.10445960139563126,0.8354506447689691,0.6183460542354303,0.052913,0.03737150993812953,0.039684750000000005,0.16454935523103087,0.0938009413632943,0.09380094136329431
Auto Parts,35,1.3394463651948414,0.09923930788768992,0.706893607349337,0.49872040429854986,0.052913,0.14999691449019154,0.039684750000000005,0.29310639265066296,0.08178348625932404,0.08178348625932408
Bank (Money Center),15,0.7610461819725333,0.07344265971597498,0.3785159443646745,0.22738717670540012,0.047306,0.1843478364577707,0.0354795,0.6214840556353255,0.049849161250959236,0.049849161250959284
Banks (Regional),568,0.3984765556409175,0.05727205438158492,0.6574522855359877,0.2268255755296142,0.047306,0.17609708151159398,0.0354795,0.34254771446401233,0.04980706468584031,0.049807064685840396
Beverage (Alcoholic),14,0.8124756277132766,0.07573641299601214,0.6976497214204875,0.5596193724547387,0.052913,0.12349880380286866,0.039684750000000005,0.30235027857951247,0.06483618264591316,0.06483618264591318
Beverage (Soft),27,0.6414687070147179,0.06810950433285642,0.8292759726142316,0.5788689759563741,0.052913,0.0684627965508008,0.039684750000000005,0.17072402738576842,0.06325671579570011,0.06325671579570002
Broadcasting,24,0.47075204848634544,0.06049554136249101,0.5380559136211459,0.46623069933478634,0.052913,0.07728859528725333,0.039684750000000005,0.4619440863788541,0.05088211935972416,0.0508821193597242
Brokerage & Investment Banking,32,1.171457071047836,0.09174698536873349,0.4244957382387696,0.366085597210624,0.050671999999999995,0.15273177578181318,0.038003999999999996,0.5755042617612304,0.06081766824925591,0.06081766824925583
Building Materials,41,1.1115321733442423,0.08907433493115322,0.7936614770616368,0.35282100910190417,0.050671999999999995,0.1802113978781021,0.038003999999999996,0.2063385229383632,0.07853655745549157,0.07853655745549148
Business & Consumer Services,155,0.8879785335242745,0.07910384259518263,0.8353095352889235,0.41106991639716206,0.050671999999999995,0.10382630217002471,0.038003999999999996,0.1646904647110765,0.0723350904186299,0.07233509041862995
Cable TV,9,0.7407444081777597,0.07253720060472808,0.40495756914925196,0.4404071378928042,0.050671999999999995,0.10643042905457614,0.038003999999999996,0.595042430850748,0.05198848097183416,0.05198848097183406
Chemical (Basic),29,1.0122471500989898,0.08464622289441495,0.5016202946219239,0.4580970692608343,0.052913,0.07683856093152415,0.039684750000000005,0.4983797053780761,0.062238337279932075,0.062238337279932
Chemical (Diversified),4,0.8507028562562596,0.07744134738902918,0.3621745103897218,0.3903520023839609,0.050671999999999995,0.0,0.038003999999999996,0.6378254896102782,0.05228720198169101,0.05228720198169112
Chemical (Specialty),59,0.9697828817775749,0.08275231652727985,0.7699239236034014,0.42305160954750315,0.050671999999999995,0.13675158334443216,0.038003999999999996,0.23007607639659855,0.07245679943533023,0.07245679943533023
Coal & Related Energy,16,1.0709931914897641,0.08726629634044347,0.933332221846033,0.6431490912216578,0.052913,0.03125,0.039684750000000005,0.06666777815396696,0.0840941403647961,0.08409414036479612
Computer Services,64,1.0878559034733686,0.08801837329491224,0.7993597282303678,0.5342530314325552,0.052913,0.10526994226576537,0.039684750000000005,0.20064027176963217,0.07832070198141003,0.07832070198141006
Computers/Peripherals,36,1.3503292085851684,0.09972468270289851,0.9557968962195064,0.5457679517178851,0.052913,0.05911353077642165,0.039684750000000005,0.044203103780493636,0.09707073132665844,0.09707073132665833
Construction Supplies,40,1.1503560568511637,0.0908058801355619,0.8501814547512858,0.35513321135865794,0.050671999999999995,0.16038852383860958,0.038003999999999996,0.14981854524871419,0.08289517926725504,0.08289517926725498
Diversified,20,0.8809551761105191,0.07879060085452916,0.8654059844285302,0.2841172358254972,0.047306,0.02756045788007777,0.0354795,0.13459401557146977,0.07296118587169716,0.0729611858716972
Drugs (Biotechnology),496,1.1352650325488571,0.09013282045167903,0.8846440630087472,0.7567979803880647,0.060195,0.010795122386082115,0.04514625,0.1153559369912528,0.08494335246520258,0.08494335246520257
Drugs (Pharmaceutical),228,0.9828330980612211,0.08333435617353047,0.8730797362167346,0.7664492440646036,0.060195,0.029938702770438724,0.04514625,0.12692026378326537,0.07848751166460263,0.07848751166460266
Education,32,0.7809055888612572,0.07432838926321207,0.803996597945147,0.4723775113573218,0.052913,0.15540367121320292,0.039684750000000005,0.196003402054853,0.06753811810806143,0.06753811810806143
Electrical Equipment,112,1.2511238546074688,0.09530012391549311,0.8928314031205313,0.7271388016174681,0.060195,0.048160938724098754,0.04514625,0.10716859687946867,0.08992520361989993,0.08992520361989986
Electronics (Consumer & Office),8,0.8659780184815811,0.07812261962427852,0.9451410472557655,0.7018361349746528,0.060195,0.0,0.04514625,0.05485895274423447,0.07631357052138382,0.07631357052138377
